"name","pop2019","pop2016","pop2011"
"Ontario","14446515","13448494","12851821"
"Quebec","8433301","8164361","7903000"
"British Columbia","5020302","4648055","4400057"
"Alberta","4345737","4067175","3645257"
"Manitoba","1360396","1278365","1208268"
"Saskatchewan","1168423","1098352","1053960"
"Nova Scotia","965382","923598","921727"
"New Brunswick","772094","747101","751171"
"Newfoundland","523790","519716","514536"
"Prince Edward Island","154748","142907","140204"
"Northwest Territory","44598","41786","41462"
"Yukon","40369","35874","33897"
"Nunavut","38787","35944","31906"
