,word,confident_similarity
408,need,0.5258704423904419
824,hope,0.5190643072128296
219,good,0.5189374089241028
706,clear,0.5137917995452881
439,well,0.5114836096763611
1085,sure,0.5068056583404541
575,enough,0.5025258660316467
151,even,0.4951004683971405
455,give,0.4944579303264618
303,want,0.4911298453807831
1810,ensure,0.49094828963279724
578,keep,0.4909014403820038
1623,concerned,0.48655906319618225
733,believe,0.4842321276664734
159,make,0.4830913245677948
54,would,0.4823569357395172
3018,confident,0.4818646311759949
181,much,0.4815882742404938
2747,indeed,0.4813999533653259
1543,expect,0.4812970757484436
2032,certainly,0.48091256618499756
326,come,0.48025980591773987
889,mean,0.4800421893596649
911,need,0.4795232117176056
1247,reason,0.47906598448753357
1380,sense,0.47835078835487366
2565,doubt,0.4781278669834137
4033,guarantee,0.47806182503700256
938,bring,0.47791463136672974
921,kind,0.4776754677295685
596,find,0.4771253764629364
190,take,0.4770304560661316
1075,need,0.47701606154441833
413,though,0.4757223129272461
1504,necessary,0.475281685590744
149,still,0.47468483448028564
871,rather,0.47412535548210144
390,must,0.47410985827445984
143,well,0.4740898013114929
853,fact,0.4739912748336792
562,strong,0.47389957308769226
275,help,0.4735938310623169
1513,confidence,0.47312837839126587
936,nothing,0.47309255599975586
94,could,0.4716387093067169
504,despite,0.4711994528770447
296,without,0.47117286920547485
581,future,0.47059112787246704
2275,keep,0.47042834758758545
3329,promise,0.4698726236820221
1876,safe,0.4697873890399933
1013,difficult,0.4682483673095703
2105,meant,0.468113511800766
2242,neither,0.4670519530773163
269,think,0.46694451570510864
1492,lack,0.4669230580329895
667,able,0.46684569120407104
761,provide,0.4668225049972534
8790,assure,0.46676456928253174
2710,hop,0.46582090854644775
2598,sort,0.4657365083694458
2188,maintain,0.4654601514339447
998,feel,0.46335992217063904
414,might,0.4628351330757141
345,say,0.46280860900878906
944,remain,0.46278080344200134
5297,assure,0.4617363512516022
2448,hop,0.4614587426185608
555,possible,0.4608015716075897
333,little,0.4607729911804199
3841,calm,0.46035659313201904
660,continue,0.45974200963974
2208,willing,0.45946475863456726
1539,opportunity,0.4590713679790497
2667,secure,0.45892006158828735
2056,clearly,0.45843425393104553
690,always,0.4581514000892639
1402,everyone,0.45704254508018494
1192,certain,0.456431120634079
862,look,0.456283837556839
511,change,0.4559493660926819
280,support,0.45572516322135925
1227,give,0.4557148516178131
454,give,0.45563164353370667
645,something,0.455412358045578
1023,add,0.4553665816783905
3958,convince,0.45529478788375854
401,whether,0.45308130979537964
4641,regard,0.45295360684394836
2993,unlikely,0.4528737962245941
3467,wish,0.452682226896286
858,especially,0.4524133503437042
1348,seem,0.4520360231399536
2751,otherwise,0.4514169692993164
968,effort,0.45134010910987854
373,today,0.4511681795120239
1310,concern,0.4497676193714142
662,look,0.4496012330055237
1983,respect,0.44949063658714294
1355,hope,0.44893786311149597
212,however,0.4487660229206085
1078,longer,0.44871920347213745
3852,note,0.448688805103302
3504,desire,0.4481797516345978
1188,ready,0.44744858145713806
588,really,0.44726279377937317
647,likely,0.44631510972976685
3197,aware,0.44624319672584534
2501,commitment,0.4461921155452728
1087,stay,0.44612520933151245
549,full,0.4455764889717102
794,situation,0.4451967179775238
492,take,0.44518953561782837
741,want,0.4451190233230591
802,hold,0.44498521089553833
1019,chance,0.4449089765548706
346,know,0.4439242482185364
4577,nevertheless,0.44384053349494934
5967,nonetheless,0.44294899702072144
3143,welcome,0.44292816519737244
2684,whatever,0.4428750276565552
483,move,0.4427507817745209
1906,understand,0.4427221715450287
2962,worried,0.4425073266029358
1139,view,0.4423891007900238
2177,determine,0.44216808676719666
3586,ease,0.441707581281662
1568,consider,0.44156476855278015
1751,happy,0.4411153793334961
481,important,0.4411030411720276
376,although,0.4409436881542206
3414,obviously,0.44073721766471863
222,go,0.43989574909210205
440,less,0.4390353262424469
1706,seem,0.4389766752719879
1944,immediate,0.43892160058021545
605,hard,0.4388960897922516
1762,seek,0.4387156367301941
1673,easy,0.43851739168167114
781,come,0.43816956877708435
5456,satisfied,0.4378243684768677
1096,anything,0.4376794993877411
2300,find,0.4363783001899719
2827,prove,0.4362921416759491
1113,particularly,0.43617677688598633
1446,true,0.4359533190727234
677,effort,0.43590638041496277
1481,simply,0.43587538599967957
7231,genuine,0.43576404452323914
1655,fear,0.43557605147361755
751,do,0.4352013170719147
1368,progress,0.43467628955841064
1689,quite,0.43434765934944153
949,allow,0.43410348892211914
595,try,0.4339527189731598
2837,suppose,0.43367597460746765
2220,put,0.4335450232028961
1284,concern,0.4331279397010803
1025,want,0.43307700753211975
4080,promise,0.43260034918785095
1033,rest,0.4324423372745514
433,make,0.4323083460330963
4757,promising,0.4319518804550171
654,thing,0.431887686252594
1472,perhaps,0.431538462638855
79,time,0.43126100301742554
2041,promise,0.4308708906173706
890,turn,0.4304591715335846
1065,step,0.4304441809654236
995,question,0.4303966164588928
498,return,0.4300551116466522
435,deal,0.4298141598701477
411,already,0.429441899061203
198,public,0.4293951988220215
901,offer,0.4288564622402191
3720,essential,0.4286412000656128
123,country,0.42848268151283264
1567,improve,0.42813602089881897
194,security,0.42808589339256287
3588,worry,0.42757537961006165
3173,impossible,0.42751744389533997
5278,reasonable,0.4262426197528839
5377,indication,0.42585650086402893
5136,eager,0.4258131980895996
4223,realize,0.42571866512298584
2351,stability,0.42568138241767883
1676,mind,0.4256564974784851
3402,appropriate,0.4255499243736267
4716,unfortunately,0.42541658878326416
4855,know,0.42509210109710693
3337,easy,0.4250911772251129
560,interest,0.42484110593795776
4632,optimistic,0.42466169595718384
1626,critical,0.42443379759788513
1600,moment,0.42443129420280457
1174,everything,0.42439714074134827
2948,stress,0.42430609464645386
1159,idea,0.42408207058906555
332,never,0.42405498027801514
4592,hardly,0.423988401889801
2161,benefit,0.42318421602249146
1966,push,0.4230567216873169
1309,seek,0.42292964458465576
1254,focus,0.42266905307769775
2518,feel,0.4226340353488922
4817,sufficient,0.42260223627090454
1914,seem,0.4221957325935364
582,take,0.42209959030151367
891,leave,0.42184925079345703
720,soon,0.4215790331363678
1702,mean,0.42147496342658997
78,government,0.4212783873081207
541,see,0.4212326109409332
2317,therefore,0.4212266504764557
1816,follow,0.4208557903766632
1034,serious,0.42084750533103943
1045,success,0.42078715562820435
712,result,0.4207704961299896
