,word,anxious_similarity
4564,difficult,0.693843424320221
6200,anger,0.6913697123527527
13669,affect,0.6794194579124451
3840,struggle,0.6784805059432983
3729,mistake,0.6780455708503723
4530,whether,0.6775299906730652
2123,thought,0.6757715344429016
7410,dangerous,0.6743223071098328
12383,aside,0.6741176247596741
3612,situation,0.6735989451408386
6167,purpose,0.6735929846763611
2590,fear,0.673473596572876
6899,failure,0.6733978390693665
11622,suffer,0.6730433106422424
10668,deal,0.672559916973114
15516,face,0.6714122295379639
9211,sudden,0.6710959076881409
5669,careful,0.6708969473838806
5839,avoid,0.6696102023124695
16646,significant,0.6692636609077454
6766,lack,0.6691753268241882
11060,responsible,0.6690056324005127
12374,temporary,0.6677572727203369
1570,rather,0.6676416397094727
4100,emotional,0.6673364639282227
1553,problem,0.6654680371284485
8292,sight,0.6652005910873413
2584,know,0.6651483178138733
22112,possibility,0.6634906530380249
15272,disappointment,0.6633636355400085
6185,involve,0.6632567048072815
4653,likely,0.6632513403892517
7832,however,0.6631155014038086
8570,otherwise,0.662583589553833
4990,decision,0.6622470021247864
25956,judgement,0.6621494889259338
23301,consequence,0.6620908379554749
11819,concerned,0.6617925763130188
13852,commitment,0.6614016890525818
3030,waste,0.6612422466278076
23632,denial,0.6607488393783569
3649,quiet,0.6606413722038269
27934,hence,0.6605600118637085
3948,issue,0.660321056842804
2337,expect,0.6601645946502686
2309,bad,0.6587943434715271
39643,extent,0.6582784056663513
4500,common,0.6577507853507996
4854,towards,0.6577064394950867
12959,approach,0.6573083996772766
5800,becomes,0.6572121381759644
17698,struggle,0.6554270386695862
4680,hardest,0.6551637649536133
2580,afraid,0.6550633907318115
1087,matter,0.6540989279747009
3173,often,0.6540576219558716
2953,difference,0.6540090441703796
8900,advantage,0.6537870168685913
11509,struggle,0.6534073352813721
13842,responsibility,0.6532836556434631
10254,aware,0.6528165340423584
12074,suffer,0.6521317958831787
3694,blame,0.6519438028335571
18951,cause,0.6518356204032898
9118,despite,0.6518036723136902
10008,necessary,0.6516837477684021
7196,argument,0.6512013077735901
26670,question,0.6508777737617493
4044,change,0.6505836248397827
14730,concern,0.6503899097442627
8006,enemy,0.6491855382919312
1776,happens,0.6491789221763611
