,word,confident_similarity
8900,advantage,0.7371736764907837
6167,purpose,0.7289990782737732
4530,whether,0.7224740386009216
8570,otherwise,0.7201973795890808
7832,however,0.7200974822044373
2337,expect,0.7191749215126038
12374,temporary,0.7185717821121216
1087,matter,0.7178409695625305
1570,rather,0.7178210020065308
2561,way,0.7166235446929932
12959,approach,0.7160816192626953
5770,wise,0.7147970199584961
13852,commitment,0.7144086956977844
2953,difference,0.7126861810684204
6967,confidence,0.7121807932853699
12383,aside,0.7120028138160706
11271,influence,0.7116706967353821
3080,positive,0.7104979157447815
6213,consider,0.7101736664772034
798,enough,0.7083417773246765
6766,lack,0.7083336114883423
9625,regardless,0.7083041667938232
3840,struggle,0.7080851197242737
16646,significant,0.707964301109314
10008,necessary,0.7077087163925171
2510,unless,0.7074815034866333
5680,willing,0.7074245810508728
6637,interest,0.7066692113876343
5669,careful,0.7060514688491821
13810,embrace,0.7059804797172546
19401,require,0.7059643268585205
13669,affect,0.7053120732307434
5571,opportunity,0.705297589302063
5952,allow,0.7047122716903687
7751,example,0.7046521306037903
4168,keep,0.7044488191604614
3030,waste,0.7043055891990662
4564,difficult,0.7042023539543152
10596,presence,0.7031319737434387
1807,self,0.7029893398284912
979,trust,0.7020879983901978
4044,change,0.7015864253044128
19190,reputation,0.7012778520584106
10616,standard,0.7012271285057068
5466,help,0.701227068901062
11489,recognize,0.7005987763404846
1671,become,0.6997532248497009
1218,mean,0.6982987523078918
27929,ensure,0.6978498101234436
4171,easy,0.6977382302284241
17320,require,0.6976949572563171
4854,towards,0.6973859071731567
2301,longer,0.6971698999404907
3469,give,0.6970497369766235
10254,aware,0.6962182521820068
8476,potential,0.6955207586288452
651,mind,0.6951988339424133
1553,problem,0.6949561834335327
3173,often,0.6948157548904419
21151,rely,0.6946932077407837
2530,success,0.6946739554405212
13842,responsibility,0.6938491463661194
9555,perhaps,0.6936026811599731
2833,handle,0.6929985284805298
3434,doubt,0.692791759967804
3659,let,0.6927753686904907
2584,know,0.6926705837249756
4990,decision,0.6926620602607727
1330,learn,0.6923595070838928
2665,choose,0.6920835971832275
7724,ability,0.6919825077056885
1306,future,0.6916414499282837
14147,choose,0.691273033618927
8801,understand,0.6900460720062256
16437,develop,0.6897354125976562
8185,remain,0.689479410648346
11060,responsible,0.6894775629043579
5369,although,0.6893866062164307
7781,progress,0.6890247464179993
31972,compromise,0.68873131275177
1773,able,0.6886881589889526
7443,depends,0.688469648361206
2151,grow,0.6882258653640747
10931,provide,0.6881968379020691
30706,involves,0.6877391934394836
1595,take,0.6877366900444031
4852,brings,0.686435878276825
4500,common,0.6862534880638123
12689,equal,0.6857420206069946
11839,determine,0.6856998801231384
2393,appreciate,0.685671865940094
3672,focus,0.6855925917625427
2620,honest,0.6850741505622864
713,might,0.6850125193595886
3948,issue,0.684733510017395
1227,easy,0.6845170259475708
2123,thought,0.6844752430915833
33315,consideration,0.6843492388725281
8370,surely,0.6842959523200989
8725,manage,0.684195339679718
1849,important,0.6840700507164001
6185,involve,0.6838861703872681
25642,pursue,0.6830505132675171
17698,struggle,0.6830154657363892
3699,simply,0.6824474334716797
14730,concern,0.682422935962677
13812,limit,0.6822603940963745
23675,reflect,0.6821520924568176
3148,usually,0.681557297706604
687,change,0.6815398335456848
19090,depend,0.6814829707145691
2209,give,0.6812198758125305
1999,sense,0.6809098124504089
2379,need,0.6806164979934692
5300,strength,0.6805683374404907
4349,grow,0.6803327798843384
5777,value,0.6801579594612122
9406,great,0.6801002621650696
11506,normally,0.680013120174408
17697,measure,0.6800033450126648
645,else,0.6798835396766663
5948,option,0.6796959638595581
4816,help,0.6793800592422485
6005,neither,0.6793404817581177
7446,knowledge,0.6792687773704529
1307,less,0.6789461374282837
6899,failure,0.678769052028656
13393,perspective,0.6787627339363098
3022,faith,0.6787582039833069
25029,consistent,0.6785818934440613
990,relationship,0.6782901883125305
13027,seek,0.6782358288764954
8292,sight,0.6781514883041382
2751,especially,0.6779533624649048
15997,challenge,0.6778977513313293
5070,successful,0.6776884198188782
5800,becomes,0.6776400804519653
8289,honesty,0.6775700449943542
3729,mistake,0.6775676012039185
7588,choice,0.6775234937667847
2639,truly,0.6774706244468689
7654,hope,0.6769399642944336
27934,hence,0.6768664121627808
6743,help,0.6766675114631653
1925,seem,0.6766315698623657
1343,either,0.67644864320755
9274,therefore,0.6761710047721863
10908,achieve,0.6757041811943054
3343,advice,0.6754812598228455
11509,struggle,0.6754760146141052
17559,secure,0.6753969192504883
470,find,0.6753684878349304
11411,benefit,0.6752344965934753
4847,change,0.6750363707542419
3084,experience,0.6749556660652161
7382,eventually,0.67489093542099
631,anything,0.6747884154319763
8473,seek,0.6746501922607422
8635,humble,0.6742510199546814
3892,big,0.6740562319755554
8068,promise,0.6736956834793091
19808,need,0.6732739806175232
11819,concerned,0.6730644702911377
4300,create,0.6728248596191406
614,must,0.6724385619163513
417,person,0.6721962094306946
3437,attitude,0.6721811890602112
2939,reason,0.6720283031463623
49659,establish,0.6719525456428528
7599,patient,0.6719090342521667
19099,allows,0.6718280911445618
1741,small,0.6714945435523987
13357,toward,0.6714676022529602
6770,step,0.6714579463005066
1363,worth,0.6713522672653198
3831,tough,0.671190083026886
946,reason,0.671139657497406
17024,mutual,0.6711390614509583
26725,reasonable,0.6710216403007507
663,without,0.6709243059158325
2416,work,0.6708760857582092
9387,physical,0.6708267331123352
3625,beyond,0.6708255410194397
6641,patience,0.6707103848457336
4613,base,0.6706868410110474
521,care,0.6705942749977112
959,understand,0.6700792908668518
1397,one,0.6699238419532776
11125,guarantee,0.6697863936424255
6026,action,0.6687338352203369
8652,improve,0.6685609221458435
3399,mistake,0.6684805154800415
6769,whose,0.668341338634491
3765,find,0.6680130362510681
1353,give,0.6679621934890747
23442,acknowledge,0.6678149104118347
18298,maintain,0.6677948832511902
4653,likely,0.6676387190818787
2261,treat,0.6676331758499146
4575,matter,0.6675425171852112
20623,authority,0.667406439781189
14383,unlike,0.667176365852356
13230,experienced,0.6670112013816833
8200,lifetime,0.6670093536376953
5839,avoid,0.6668147444725037
8999,opposite,0.6667978763580322
1362,strong,0.6666955947875977
13848,priority,0.6665099859237671
632,anyone,0.6664354205131531
22112,possibility,0.6661975383758545
9047,demand,0.6660452485084534
8358,prepared,0.665897011756897
10711,succeed,0.6658967733383179
10834,certainly,0.6658869385719299
13212,show,0.6658662557601929
33639,lack,0.6649463772773743
4615,within,0.6645478010177612
181,life,0.6645148396492004
3612,situation,0.6640836000442505
15460,ease,0.6639140248298645
2597,life,0.6638859510421753
8737,stand,0.6637501120567322
19481,determine,0.6635100245475769
5858,worry,0.6634172201156616
3584,learn,0.6633985638618469
5515,sign,0.6633607149124146
5956,position,0.6631895303726196
5060,strong,0.6626666784286499
381,every,0.6625982522964478
488,nothing,0.6625115275382996
7405,somehow,0.6622108817100525
660,try,0.6620556712150574
5099,carry,0.6619725823402405
23005,sympathy,0.6612749695777893
9420,comfort,0.6612169742584229
7628,personally,0.6607876420021057
2479,plan,0.6607022881507874
5259,move,0.6606270670890808
16794,thus,0.6605252623558044
15581,priority,0.6604906320571899
130,people,0.6604180932044983
19366,creates,0.6602755188941956
17317,allow,0.660243034362793
8769,grant,0.6601933836936951
297,could,0.6598480343818665
7903,expect,0.6597926616668701
2022,step,0.6597822308540344
13340,satisfied,0.6595446467399597
19533,belief,0.6591337323188782
6517,loyalty,0.6591047048568726
4048,build,0.6588321924209595
6099,become,0.6587628722190857
523,make,0.6584495306015015
2268,human,0.6583044528961182
3933,certain,0.6582598090171814
4463,clearly,0.6582353115081787
20837,value,0.6582289934158325
428,everything,0.6581296920776367
3390,easily,0.6579329967498779
3931,effort,0.6578608751296997
692,sometimes,0.6578508615493774
6546,powerful,0.6578235030174255
10668,deal,0.6576300263404846
6200,anger,0.657476007938385
1282,truth,0.6573385000228882
1776,happens,0.6571194529533386
2319,happiness,0.6566305756568909
13910,rarely,0.656620979309082
12788,specific,0.656397819519043
26034,advise,0.6563038229942322
2184,safe,0.6560035347938538
9852,push,0.6559677124023438
