id,created_at,screen_name,source,clean_text,original_text,is_retweet,favorite_count,retweet_count,hashtags,urls,mentions,city,province,longitude,latitude
1252027653349093376,2020-04-20 00:13:48+00:00,ESL_fairy,Twitter for iPhone,"['qualified', 'teacher', 'teach', 'child', 'grade', 'level', 'know', 'never', 'able', 'replicate', 'child', 'regular', 'classroom', 'experience', 'home', 'try', 'parents-be', 'gentle', 'kid', 'need', 'feel', 'safe', 'love', 'right']","I am a qualified teacher. I have taught my own child’s grade level. I know that I will NEVER be able to replicate my child’s regular classroom experience in our home, and I’m not trying to do that. Parents-be gentle with yourselves. Kids need to feel safe and loved right now.",False,846.0,149.0,,['https://twitter.com/i/web/status/1252027653349093376'],,Kitchener,Ontario,-80.5112,43.42537
1252028015330185216,2020-04-20 00:15:15+00:00,CullitonHugh,Twitter Web App,"['qualified', 'teacher', 'teach', 'child', 'grade', 'level', 'know', 'never', 'able', 'replicate', 'child', 'regular', 'classroom', 'experience', 'home', 'try', 'parents-be', 'gentle', 'kid', 'need', 'feel', 'safe', 'love', 'right']","I am a qualified teacher. I have taught my own child’s grade level. I know that I will NEVER be able to replicate my child’s regular classroom experience in our home, and I’m not trying to do that. Parents-be gentle with yourselves. Kids need to feel safe and loved right now.",True,0.0,0.0,,,['ESL_fairy'],Hamilton,Ontario,-79.84963,43.25011
1252028801774579712,2020-04-20 00:18:22+00:00,T_May_O,Twitter for iPhone,"['amaze', '150000', 'meal', 'provide', 'kid', 'impact', 'covid19-related', 'school', 'closure', 'keep', 'good', 'work', 'every', 'registration', 'help', 'join', 'playathome', 'scavenger', 'hunt', 'stayathome']","AMAZING. 

150,000 MEALS PROVIDED FOR KIDS IMPACTED BY #COVID19-RELATED SCHOOL CLOSURES! 

Keep up the good work. Every registration helps! Join the #PlayAtHome Scavenger Hunt now: https://t.co/pxrytDcnXj

#StayatHome https://t.co/03AT0ybUAn",True,0.0,0.0,['COVID19'],,['GISH'],,,-113.64258000000001,60.10867
1252029387366522881,2020-04-20 00:20:42+00:00,GrahamDun,Twitter for iPhone,"['johnkendler', 'algyax', 'keithbaldrey', 'pessimistic', 'pragmatist', 'favor', 'health', 'science', 'school', 'significantly', 'reduce', 'class', 'size', 'day', 'week', 'recess', 'hallway', 'hangouts', 'parent', 'congregate', 'none', 'want', 'breakout', 'covid-19', 'crush', 'summer']","@JohnKendler @algyax @keithbaldrey I’m not pessimistic. I’m a pragmatist who favors health science. 

If school is in by May, it will be significantly reduced class sizes, two days a week with no recess, no hallway hangouts or parents congregating— none of us wants a breakout of COVID-19 in to crush summer.",False,1.0,0.0,,['https://twitter.com/i/web/status/1252029387366522881'],"['JohnKendler', 'algyax', 'keithbaldrey']",Victoria,British Columbia,-123.3693,48.43294
1252031819740057600,2020-04-20 00:30:22+00:00,mrswarriner,Twitter for iPhone,"['everyone', 'worry', 'child', 'fall', 'behind', 'catch', 'hattie', 'weighs', 'effect', 'extended', 'school', 'closure', 'issue', 'equity', 'parental', 'involvement', 'student', 'learning']","For everyone worried about the children falling behind &amp; how to catch them up, Hattie weighs in on the ‘effect’ of extended school closures, issues of equity and parental involvement in student learning: https://t.co/PHJOHcT982",True,0.0,0.0,,,['latoyadixon5'],Hamilton,Ontario,-79.84963,43.25011
1252032576702668800,2020-04-20 00:33:22+00:00,kaharvey10,Twitter for iPhone,"['argentina', 'mongolia', 'iraq', 'kenya', 'student', 'teacher', 'parent', 'around', 'world', 'tell', 'unesco', 'cop', 'covid19', 'school', 'closure', 'share', 'story', 'learningneverstops', 'shareeducation']","From Argentina to Mongolia, Iraq to Kenya, students, teachers and parents from around the world are telling @UNESCO how they’re coping with #COVID19 school closures. And you?

Share your story on how #LearningNeverStops

https://t.co/yzRb7gbE9r #ShareEducation https://t.co/fQTfJQRPb5",True,0.0,0.0,,,"['UNESCO', 'UNESCO']",,,-113.64258000000001,60.10867
1252034907854929921,2020-04-20 00:42:38+00:00,Sanlin,Twitter for iPhone,"['amaze', '150000', 'meal', 'provide', 'kid', 'impact', 'covid19-related', 'school', 'closure', 'keep', 'good', 'work', 'every', 'registration', 'help', 'join', 'playathome', 'scavenger', 'hunt', 'stayathome']","AMAZING. 

150,000 MEALS PROVIDED FOR KIDS IMPACTED BY #COVID19-RELATED SCHOOL CLOSURES! 

Keep up the good work. Every registration helps! Join the #PlayAtHome Scavenger Hunt now: https://t.co/pxrytDcnXj

#StayatHome https://t.co/03AT0ybUAn",True,0.0,0.0,['COVID19'],,['GISH'],,British Columbia,-125.0032,53.99983
1252040168086749184,2020-04-20 01:03:32+00:00,YEG_EMC,Twitter for Android,"['thought', 'albertateachers', 'move', 'next', 'std', 'fall', 'fire', 'think', 'govt', 'plan', 'school', 'back', 'best', 'mental', 'health', 'connection', 'kids/fam', 'covid', 'return', 'later', 'year', 'mentalhealthmatters']",Any thoughts on #AlbertaTeachers moving to the next gr w. their Div 1 stds this fall?  With EAs &amp; 🚌 fired I don’t think the govt plans to have schools back before then. Best for mental health and connection w kids/fam if #COVID returns later in year. #MentalHealthMatters,True,0.0,0.0,['AlbertaTeachers'],,['JProcktorPhoto'],Edmonton,Alberta,-113.46871000000002,53.55014
1252043569390592000,2020-04-20 01:17:03+00:00,MarcGobeil,Twitter for iPhone,"['everyone', 'worry', 'child', 'fall', 'behind', 'catch', 'hattie', 'weighs', 'effect', 'extended', 'school', 'closure', 'issue', 'equity', 'parental', 'involvement', 'student', 'learning']","For everyone worried about the children falling behind &amp; how to catch them up, Hattie weighs in on the ‘effect’ of extended school closures, issues of equity and parental involvement in student learning: https://t.co/PHJOHcT982",True,0.0,0.0,,,['latoyadixon5'],Saskatoon,Saskatchewan,-106.63452,52.11679
1252047452917493760,2020-04-20 01:32:29+00:00,vicki_den,Twitter for iPad,"['qualified', 'teacher', 'teach', 'child', 'grade', 'level', 'know', 'never', 'able', 'replicate', 'child', 'regular', 'classroom', 'experience', 'home', 'try', 'parents-be', 'gentle', 'kid', 'need', 'feel', 'safe', 'love', 'right']","I am a qualified teacher. I have taught my own child’s grade level. I know that I will NEVER be able to replicate my child’s regular classroom experience in our home, and I’m not trying to do that. Parents-be gentle with yourselves. Kids need to feel safe and loved right now.",True,0.0,0.0,,,['ESL_fairy'],West Kelowna,British Columbia,-119.58333,49.8625
