id,user,created_at,source,clean_text,original_text,favorite_count,retweet_count,city,province,hashtags,urls,mentions
1270137220297457665,jdouglaslittle,Mon Jun 08 23:34:45 +0000 2020,Twitter for Android,"['instant', 'improvement', 'open', 'september', 'without', 'applied', 'level', 'kid', 'academic', 'program', 'study', 'academic', 'level', 'ontario', 'education', 'minister', 'warn', 'peel', 'school', 'board', 'action', 'anti-black', 'racism', 'address']","Instant improvement. Open in September without Applied level. All kids in Academic program, studying at academic level. 

Ontario Education Minister warns Peel school board of further action if anti-Black racism not addressed

https://t.co/FnqOhL0vmb",0,0,Vancouver,British Columbia,,['https://twitter.com/i/web/status/1270137220297457665'],
1270119672336093185,ShaneWenzel,Mon Jun 08 22:25:02 +0000 2020,Twitter for iPhone,"['bellis1994', 'toadamvaughan', 'somebody', 'send', 'back', 'school', 'math', 'course', 'debate', 'properly']","@bellis1994 @TOAdamVaughan Somebody should send him back to school for math 101, and a $50 course on how to debate properly",1,0,Calgary,Alberta,,,"['bellis1994', 'TOAdamVaughan']"
1270113767981027330,aforgrave,Mon Jun 08 22:01:34 +0000 2020,Twitter for iPhone,"['samoosterhoff', 'deepakanandmpp', 'sflecce', 'please', 'clarify', 'stakeholder', 'group', 'represent', 'meeting', 'clearly', 'representative', 'sample', 'therefore', 'perhaps', 'many', 'focus', 'group', 'consult', 'onted', 'onpoli']","@samoosterhoff @DeepakAnandMPP @Sflecce Please clarify the stakeholder group represented by this meeting. Clearly this is not a representative sample and therefore perhaps one of MANY focus groups you have consulted? 
#OntEd #ONpoli 

https://t.co/3s1uQUm2cc",2,2,Belleville,Ontario,,['https://twitter.com/i/web/status/1270113767981027330'],"['samoosterhoff', 'DeepakAnandMPP', 'Sflecce']"
1270105966441385984,MsBelvitt,Mon Jun 08 21:30:34 +0000 2020,Twitter for iPhone,"['covid-19', 'middle', 'devine', 'leadership', 'potential', 'high', 'school', 'speak', 'tour', 'last', 'week', 'teacher', 'book', 'check', 'family', 'beyond', 'touch', 'checkin', 'look', 'like', 'blacklivesmatter']","Before COVID-19 hit CA&amp;US I was in the middle of my “tap into your Devine leadership potential” high school speaking tour. Last week, one of the teachers who booked me check in on me and my family. I was beyond touched. This is what checkin looks like. #blacklivesmatter https://t.co/EOjSov7qOa",2,0,Kitchener,Ontario,,['https://twitter.com/i/web/status/1270105966441385984'],
1270100052745183232,pairsonnalitesN,Mon Jun 08 21:07:04 +0000 2020,dlvr.it,"['fight', 'stigma', 'covid-19', 'pod', 'inhumane', 'say', 'newbridge', 'creche', 'owner', 'creche', 'know', 'likely', 'thing', 'past', 'irish', 'child', 'say', 'kildare', 'say', 'creche', 'system', 'finish', 'ireland']","Fighting Stigma : Covid-19 pods are 'inhumane', says Newbridge creche owner: Creches as we know them are very likely a thing of the past for Irish children, says a Kildare ... She said: “I see the creche system finishing in Ireland. https://t.co/NKW6faVHv3",0,0,Varennes,Québec,,['https://twitter.com/i/web/status/1270100052745183232'],
1270100051709198336,pairsonnalitesN,Mon Jun 08 21:07:04 +0000 2020,dlvr.it,"['fight', 'stigma', 'ireland', 'must', 'completely', 'eliminate', 'covid-19', 'life', 'return', 'normal', 'scientist', 'warn', 'cost', 'child', 'care', 'already', 'high', 'impossible', 'many', 'many', 'workplace', 'need', 'expensive', 're-design', 'many', 'people', 'drop']","Fighting Stigma : Ireland must completely eliminate Covid-19 before life returns to normal, scientists warn: “The costs of child care, already high, will be impossible for many. Many workplaces will need expensive re-design. Many people will drop out, or… https://t.co/cxZB4faLi8",0,0,Varennes,Québec,,['https://twitter.com/i/web/status/1270100051709198336'],
1270098922799869958,PHump72,Mon Jun 08 21:02:35 +0000 2020,Twitter for iPhone,"['stuff', 'make', 'people', 'sick', 'every', 'single', 'restaurant', 'patio', 'park', 'school', 'place', 'worship', 'business', 'open', 'immediately', 'absolute', 'joke']","This is the stuff that makes people sick. How every single restaurant, bar, patio, park, school, place of worship, business isn’t open immediately is an absolute joke. https://t.co/l02WnPruc0",0,0,Pickering,Ontario,,['https://twitter.com/i/web/status/1270098922799869958'],
1270094829217857536,tbcschools_STMT,Mon Jun 08 20:46:19 +0000 2020,Instagram,"['virtual', 'bike', 'rodeos', 'virtual', 'bike', 'rodeo', 'series', 'video', 'help', 'child', 'family', 'gain', 'fundamental', 'cycling', 'skill', 'rodeos', 'teach', 'participant', 'complete', 'safety', 'check', 'bike', 'and…']","About Virtual Bike Rodeos
Virtual Bike Rodeos are a series of videos that help children and their families gain fundamental cycling skills. The Rodeos teach participants to complete safety checks on their bikes and… https://t.co/zTbl53yTj4",1,0,Thunder Bay,Ontario,,['https://twitter.com/i/web/status/1270094829217857536'],
1270082574459613190,REngString,Mon Jun 08 19:57:37 +0000 2020,Twitter for iPhone,"['please', 'forward', 'anyone', 'know', 'provide', 'food', 'family', 'covid', 'related', 'school', 'closure']",Please forward to anyone you know who is providing food to families during COVID related school closures.  https://t.co/0lx2T7fqOg,0,2,Saskatoon,Saskatchewan,,['https://www.healthyschoolfood.ca/post/a-survey-of-organizations-and-agencies-providing-food-to-school-students-during-covid-19'],
1270078688520835072,MsYouDoYou,Mon Jun 08 19:42:10 +0000 2020,Twitter for iPhone,"['stay', 'facebook', 'week', 'argue', 'stick', 'mom', 'say', 'school', 'playground', 'use', 'student', 'school', 'covid', 'relate', 'general', 'park', 'teach', 'kid', 'leave', 'stranger', 'assume', 'everyone', 'perv']",I stayed off Facebook for a week and now I’m arguing with stuck up moms saying the school playgrounds should be used only for students of the school - and not COVID related. Just in general. It’s a park. Teach your kids not to leave with strangers and assuming everyone is a perv.,7,0,Nanaimo,British Columbia,,['https://twitter.com/i/web/status/1270078688520835072'],
