id,created_at,screen_name,source,clean_text,original_text,favorite_count,retweet_count,hashtags,urls,mentions,city,province,longitude,latitude
1292249214966206464,Sat Aug 08 23:59:56 +0000 2020,surveyorX,Twitter Web App,"['freedomgirl2011', 'lose', 'control', 'narrative', 'manufactured', 'dangerous', 'pandemic', 'news', 'frighten', 'parent', 'someday', 'shall…']","RT @freedomgirl2011: They are losing control of the narrative on manufactured dangerous pandemic.
News 2 frighten parents..someday we shall…",0,0,,,['freedomgirl2011'],,,-113.64258,60.10867
1292249179167891458,Sat Aug 08 23:59:47 +0000 2020,Konstruktive_,Twitter for iPhone,"['safeseptember', 'miss', 'canada', 'plan', 'kid', 'back', 'school', 'safely']",RT @SafeSeptember: What's missing from Canada's plans to get kids back to school safely https://t.co/11G11uYlRl,0,0,,['https://www.cbc.ca/news/health/coronavirus-canada-schools-1.5679090'],['SafeSeptember'],Québec,Quebec,-71.21454,46.81228
1292249168774172672,Sat Aug 08 23:59:45 +0000 2020,siegburgerdaddy,Twitter for iPhone,"['c_tepperman', 'alberta', 'back-to-school', 'plan', 'suffers', 'lack', 'fund', 'lack', 'imagination', 'kid', 'deserve', 'good', 'hope', 'for…']",RT @c_tepperman: The Alberta back-to-school plan suffers from lack of funds and lack of imagination. Kids deserve better than the 'hope for…,0,0,,,['c_tepperman'],,Alberta,-117.469,52.28333
1292249164777050118,Sat Aug 08 23:59:44 +0000 2020,Blue_Star_mv1,Twitter for Android,"['torontostar', 'icymi', 'sick', 'kid', 'president', 'ronald', 'cohn', 'back', 'back-to-school', 'plan', 'ensure', 'proper', 'physical', 'distancing…']",RT @TorontoStar: #ICYMI Sick Kids President Ronald Cohn will not back a back-to-school plan that does not ensure proper physical distancing…,0,0,['ICYMI'],,['TorontoStar'],Mississauga,Ontario,-79.6583,43.5789
1292249109915742210,Sat Aug 08 23:59:31 +0000 2020,carabreac,Twitter for iPad,"['torontostar', 'sick', 'kid', 'president', 'ronald', 'cohn', 'back', 'back-to-school', 'plan', 'ensure', 'proper', 'physical', 'distancing', 'betwee…']",RT @TorontoStar: Sick Kids President Ronald Cohn will not back a back-to-school plan that does not ensure proper physical distancing betwee…,0,0,,,['TorontoStar'],,,-113.64258,60.10867
1292249109039063040,Sat Aug 08 23:59:31 +0000 2020,our_children,Twitter for iPhone,"['austinsaral', 'class', 'size', 'vital', 'curb', 'spread', 'covid-19', 'school', 'accord', 'expert', 'sick', 'kid', 'hospital', 'sickkids…']","RT @austinsaral: Class sizes are vital to curbing the spread of COVID-19 in schools, according to experts at Sick Kids Hospital 
⁦@SickKids…",0,0,,,['austinsaral'],Hamilton,Ontario,-79.84963,43.25011
1292249078223392768,Sat Aug 08 23:59:23 +0000 2020,FatFarmGma,Twitter for Android,"['cmoh_alberta', 'alberta_moms', 'mean', 'alberta', 'child']","@CMOH_Alberta @alberta_moms
What does this mean for Alberta children? https://t.co/s6a5GUyI1x",0,0,,['https://www.cbsnews.com/amp/news/covid-19-kids-schools-in-person-instruction/?__twitter_impression=true'],"['CMOH_Alberta', 'alberta_moms']",,Alberta,-117.469,52.28333
1292249053212954628,Sat Aug 08 23:59:17 +0000 2020,RenataAncans,Twitter for iPhone,"['maritstiles', 'worth', 'remind', 'folk', 'low', 'number', 'student', 'attend', 'school', 'parent', 'opt', 'out/opting', 'online', 'doesn…']",RT @maritstiles: Worth reminding folks that lower numbers of students attending our schools (Eg parents opting out/opting for online) doesn…,0,0,,,['maritstiles'],Toronto,Ontario,-79.4163,43.70011
1292249048833900544,Sat Aug 08 23:59:16 +0000 2020,Col8675309,Twitter Web App,"['movingparadigms', 'believe', 'incumbent', 'question', 'science', 'provincial', 'official']","RT @MovingParadigms: "" I believe it is incumbent on each of us ... to ask more questions ... what science led our provincial officials to d…",0,0,,,['MovingParadigms'],,British Columbia,-125.0032,53.99983
1292249018760921093,Sat Aug 08 23:59:09 +0000 2020,alternativesart,Twitter Web App,"['torontostar', 'icymi', 'sick', 'kid', 'president', 'ronald', 'cohn', 'back', 'back-to-school', 'plan', 'ensure', 'proper', 'physical', 'distancing…']",RT @TorontoStar: #ICYMI Sick Kids President Ronald Cohn will not back a back-to-school plan that does not ensure proper physical distancing…,0,0,['ICYMI'],,['TorontoStar'],Hamilton,Ontario,-79.84963,43.25011
